Z,N,A,B_k_p,B_k_n,B_k_tot,dB_k,f_p,f_n,partial_idx,S_dom,coul_idx,BindingEnergy,E_exp,E_pred,Residual
10,9,19,14,10,24,4,0.2,0.1,0.05000000000000001,3,30.0,143.780717,143.780717,169.87766528838367,26.096948288383658
10,10,20,14,14,28,0,0.2,0.2,0.08000000000000002,3,30.0,160.644995,160.644995,178.1674214451033,17.522426445103292
10,11,21,14,18,32,-4,0.2,0.3,0.13,3,30.0,167.40611,167.40611,186.11906585951817,18.71295585951816
10,12,22,14,22,36,-8,0.2,0.4,0.20000000000000004,3,30.0,177.770054,177.770054,193.7325985316283,15.96254453162831
10,13,23,14,26,40,-12,0.2,0.5,0.29000000000000004,3,30.0,182.970668,182.970668,201.00801946143378,18.037351461433786
10,14,24,14,30,44,-16,0.2,0.6,0.4,3,30.0,191.83594,191.83594,207.9453286489345,16.109388648934498
10,15,25,14,34,48,-20,0.2,0.7,0.5299999999999999,3,30.0,196.018272,196.018272,214.54452609413053,18.526254094130536
10,16,26,14,38,52,-24,0.2,0.8,0.6800000000000002,3,30.0,201.602504,201.602504,220.8056117970218,19.2031077970218
10,17,27,14,42,56,-28,0.2,0.9,0.8500000000000001,3,30.0,203.004325,203.004325,226.72858575760839,23.72426075760839
10,18,28,14,46,60,-32,0.2,1.0,1.04,3,30.0,206.893237,206.893237,232.31344797589026,25.420210975890257
10,19,29,14,55,69,-41,0.2,0.07142857142857142,0.04510204081632654,4,22.5,208.220539,208.220539,256.3534690057925,48.132930005792474
10,20,30,14,64,78,-50,0.2,0.14285714285714285,0.060408163265306125,4,22.5,212.081506,212.081506,264.8260187837042,52.74451278370424
10,21,31,14,73,87,-59,0.2,0.21428571428571427,0.08591836734693878,4,22.5,211.545819,211.545819,273.12606257064425,61.58024357064426
10,22,32,14,82,96,-68,0.2,0.2857142857142857,0.12163265306122449,4,22.5,213.282979,213.282979,281.2536003666124,67.97062136661236
11,7,18,18,5,23,13,0.3,0.8333333333333334,0.7844444444444445,3,36.666666666666664,111.360063,111.360063,149.06979282611388,37.709729826113886
11,8,19,18,6,24,12,0.3,1.0,1.09,3,36.666666666666664,131.821192,131.821192,152.74048953678616,20.91929753678616
11,9,20,18,10,28,8,0.3,0.1,0.1,3,36.666666666666664,145.976103,145.976103,178.27394455104633,32.29784155104633
11,10,21,18,14,32,4,0.3,0.2,0.13,3,36.666666666666664,163.076307,163.076307,186.56370070776592,23.487393707765904
11,11,22,18,18,36,0,0.3,0.3,0.18,3,36.666666666666664,174.145457,174.145457,194.51534512218078,20.369888122180782
11,12,23,18,22,40,-4,0.3,0.4,0.25,3,36.666666666666664,186.564184,186.564184,202.12887779429096,15.564693794290946
11,13,24,18,26,44,-8,0.3,0.5,0.33999999999999997,3,36.666666666666664,193.523618,193.523618,209.4042987240964,15.880680724096408
11,14,25,18,30,48,-12,0.3,0.6,0.44999999999999996,3,36.666666666666664,202.534753,202.534753,216.34160791159715,13.806854911597156
11,15,26,18,34,52,-16,0.3,0.7,0.58,3,36.666666666666664,208.151028,208.151028,222.94080535679316,14.789777356793167
11,16,27,18,38,56,-20,0.3,0.8,0.7300000000000001,3,36.666666666666664,214.899627,214.899627,229.20189105968444,14.302264059684433
11,17,28,18,42,60,-24,0.3,0.9,0.9,3,36.666666666666664,218.425256,218.425256,235.12486502027102,16.699609020271026
11,18,29,18,46,64,-28,0.3,1.0,1.09,3,36.666666666666664,222.84512,222.84512,240.7097272385529,17.86460723855288
11,19,30,18,55,73,-37,0.3,0.07142857142857142,0.09510204081632653,4,27.5,224.936247,224.936247,264.4140545230735,39.477807523073494
11,20,31,18,64,82,-46,0.3,0.14285714285714285,0.11040816326530611,4,27.5,228.936938,228.936938,272.8866043009853,43.949666300985314
11,21,32,18,73,91,-55,0.3,0.21428571428571427,0.13591836734693877,4,27.5,231.372719,231.372719,281.1866480879253,49.81392908792529
11,22,33,18,82,100,-64,0.3,0.2857142857142857,0.1716326530612245,4,27.5,232.234273,232.234273,289.3141858838934,57.0799128838934
11,23,34,18,91,109,-73,0.3,0.35714285714285715,0.21755102040816326,4,27.5,233.310072,233.310072,297.2692176888898,63.959145688889805
11,24,35,18,100,118,-82,0.3,0.42857142857142855,0.27367346938775505,4,27.5,232.737126,232.737126,305.05174350291435,72.31461750291436
12,8,20,22,6,28,16,0.4,1.0,1.1600000000000001,3,44.0,134.467608,134.467608,160.93293455529673,26.465326555296713
12,9,21,22,10,32,12,0.4,0.1,0.17000000000000004,3,44.0,149.198183,149.198183,186.4663895695569,37.268206569556895
12,10,22,22,14,36,8,0.4,0.2,0.20000000000000004,3,44.0,168.577754,168.577754,194.75614572627646,26.17839172627646
12,11,23,22,18,40,4,0.4,0.3,0.25,3,44.0,181.724975,181.724975,202.70779014069137,20.982815140691372
12,12,24,22,22,44,0,0.4,0.4,0.32000000000000006,3,44.0,198.25706,198.25706,210.32132281280153,12.06426281280153
12,13,25,22,26,48,-4,0.4,0.5,0.41000000000000003,3,44.0,205.587732,205.587732,217.59674374260698,12.009011742606987
12,14,26,22,30,52,-8,0.4,0.6,0.52,3,44.0,216.680803,216.680803,224.53405293010772,7.853249930107722
12,15,27,22,34,56,-12,0.4,0.7,0.6499999999999999,3,44.0,223.124152,223.124152,231.1332503753037,8.009098375303694
12,16,28,22,38,60,-16,0.4,0.8,0.8000000000000002,3,44.0,231.627724,231.627724,237.394336078195,5.76661207819501
12,17,29,22,42,64,-20,0.4,0.9,0.9700000000000001,3,44.0,235.345893,235.345893,243.31731003878159,7.9714170387815955
12,18,30,22,46,68,-24,0.4,1.0,1.1600000000000001,3,44.0,241.63806,241.63806,248.90217225706343,7.264112257063431
12,19,31,22,55,77,-33,0.4,0.07142857142857142,0.16510204081632657,4,33.0,244.036581,244.036581,272.23723642166436,28.20065542166435
12,20,32,22,64,86,-42,0.4,0.14285714285714285,0.18040816326530615,4,33.0,249.686017,249.686017,280.7097861995761,31.023769199576122
12,21,33,22,73,95,-51,0.4,0.21428571428571427,0.2059183673469388,4,33.0,251.758515,251.758515,289.009829986516,37.251314986516036
12,22,34,22,82,104,-60,0.4,0.2857142857142857,0.2416326530612245,4,33.0,256.588236,256.588236,297.13736778248426,40.54913178248427
