Z,N,BindingEnergy
26,43,575.982641
27,21,364.660906
27,22,383.94742
27,23,399.638366
27,24,417.788457
27,25,432.501334
27,26,449.296101
27,27,462.733669
27,28,476.823376
27,29,486.90598
27,30,498.281965
27,31,506.854989
27,32,517.308515
27,33,524.800447
27,34,534.122579
27,35,540.727169
27,36,549.207417
27,37,555.230383
27,38,562.676671
27,39,567.632144
27,40,574.9769
27,41,579.555118
27,42,586.843984
27,43,590.621116
27,44,596.903969
27,45,600.615897
28,22,385.451825
28,23,401.170715
28,24,420.45723
28,25,435.253941
28,26,453.152529
28,27,467.347495
28,28,483.988565
28,29,494.235857
28,30,506.454285
28,31,515.453655
28,32,526.842028
28,33,534.662032
28,34,545.259194
28,35,552.097124
28,36,561.75506
28,37,567.853104
28,38,576.83077
28,39,582.615273
28,40,590.430433
28,41,595.395221
28,42,602.572308
28,43,607.048061
28,44,613.90844
28,45,617.527218
28,46,623.893905
28,47,627.251865
28,48,633.12486
28,49,636.072962
28,50,641.377745
29,23,399.647763
29,24,418.552364
29,25,434.858097
29,26,452.859149
29,27,467.907363
29,28,484.682569
29,29,497.108906
29,30,509.871793
29,31,519.932786
29,32,531.642432
29,33,540.528998
29,34,551.381668
29,35,559.297617
29,36,569.207895
29,37,576.273854
29,38,585.391244
29,39,591.702041
29,40,599.973634
29,41,605.265377
29,42,613.140153
29,43,618.510141
29,44,625.677913
29,45,630.29339
29,46,636.96747
29,47,641.042681
29,48,647.288273
29,49,650.832532
29,50,656.603062
29,51,658.517206
30,24,418.94829
30,25,435.375117
30,26,454.251774
30,27,469.281358
30,28,486.956387
30,29,499.992574
30,30,514.992351
30,31,525.222877
30,32,538.11934
30,33,547.232445
30,34,559.094017
30,35,567.073586
30,36,578.133422
30,37,585.185595
30,38,595.383798
30,39,601.866083
30,40,611.081746
30,41,616.915618
30,42,625.793614
30,43,631.145903
30,44,639.515303
30,45,644.345024
30,46,651.997173
30,47,656.621965
30,48,663.314675
30,49,667.557555
30,50,674.017391
30,51,676.434542
30,52,680.444548
31,25,432.482867
31,26,451.713492
31,27,467.870185
31,28,486.076166
31,29,500.025217
31,30,515.44603
31,31,528.165509
31,32,540.931562
31,33,551.147184
31,34,563.036422
31,35,572.176447
31,36,583.402833
31,37,591.680388
31,38,601.989625
31,39,609.644568
31,40,618.948257
31,41,625.469199
31,42,634.657755
31,43,641.080332
31,44,649.560579
31,45,655.369301
31,46,663.1146
31,47,668.968965
31,48,675.866603
31,49,680.51934
31,50,687.510129
31,51,690.542065
31,52,695.157543
31,53,698.13359
32,26,451.476002
32,27,468.172962
32,28,487.012359
32,29,501.045244
32,30,517.630425
32,31,530.368534
32,32,545.957015
32,33,556.01242
32,34,569.290795
32,35,578.397939
32,36,590.792326
32,37,598.980084
32,38,610.518056
32,39,617.933978
32,40,628.685954
32,41,635.468832
32,42,645.665079
32,43,652.170279
32,44,661.598602
32,45,667.671123
32,46,676.390299
32,47,682.089104
32,48,690.118509
32,49,695.046037
32,50,702.437367
32,51,705.888477
32,52,711.351614
32,53,714.411496
32,54,719.148067
33,27,464.86154
33,28,484.585856
33,29,499.568867
33,30,516.4987
33,31,530.270767
33,32,545.877879
33,33,558.709137
33,34,571.6056
33,35,581.912508
33,36,594.184869
33,37,603.513708
33,38,615.138681
33,39,623.547204
33,40,634.345941
33,41,642.320294
33,42,652.564513
33,43,659.892968
33,44,669.590865
33,45,676.561812
33,46,685.45378
33,47,692.006766
33,48,700.492603
33,49,706.359077
33,50,713.983281
33,51,718.254106
33,52,723.763818
33,53,727.717934
33,54,732.668749
33,55,736.101229
33,56,739.822471
34,31,530.955457
34,32,547.8294
34,33,560.669973
34,34,576.398179
34,35,586.621253
34,36,600.337431
34,37,609.55449
34,38,622.43046
34,39,630.823147
34,40,642.890953
34,41,650.918494
34,42,662.072596
34,43,669.491406
34,44,679.989364
34,45,686.951928
34,46,696.865745
34,47,703.566745
34,48,712.842396
34,49,718.660433
34,50,727.340952
34,51,731.895882
34,52,738.075339
34,53,742.18874
34,54,747.558728
34,55,751.345176
34,56,756.249416
34,57,758.778346
34,58,763.16095
35,32,546.194668
35,33,560.357964
35,34,575.946445
35,35,589.196876
35,36,602.270322
35,37,612.903254
35,38,625.361914
35,39,635.202143
35,40,647.106564
35,41,656.32735
35,42,667.344057
35,43,675.633348
35,44,686.320679
35,45,694.212781
35,46,704.369719
35,47,711.962252
35,48,721.547252
35,49,728.385275
35,50,737.291216
35,51,742.392002
35,52,748.680443
35,53,753.622875
35,54,759.53313
35,55,763.654915
35,56,768.615045
35,57,771.758761
35,58,776.253144
35,59,779.126727
36,33,561.061283
36,34,577.804817
36,35,590.999358
36,36,607.081532
36,37,617.928707
36,38,631.281602
36,39,641.42643
36,40,654.235332
36,41,663.498966
36,42,675.558947
36,43,683.912512
36,44,695.43502
36,45,703.307002
36,46,714.272849
36,47,721.737395
36,48,732.257616
36,49,739.378813
36,50,749.23553
36,51,754.750831
36,52,761.804309
36,53,766.910684
36,54,773.217755
36,55,777.641344
36,56,783.185522
36,57,786.490386
36,58,791.68339
36,59,794.650122
36,60,799.712717
36,61,802.670134
37,34,576.421589
37,35,590.305435
37,36,606.490073
37,37,620.057212
37,38,633.625282
37,39,644.954971
37,40,657.370783
37,41,667.552871
37,42,679.484305
37,43,688.932376
37,44,700.287215
37,45,709.090691
37,46,720.04592
37,47,728.794438
37,48,739.283639
37,49,747.934537
37,50,757.853571
37,51,763.935686
37,52,771.111842
37,53,776.827414
37,54,783.291908
37,55,788.390831
37,56,794.312263
37,57,798.309228
37,58,803.668038
37,59,807.11449
37,60,812.339165
37,61,816.349171
37,62,820.955333
37,63,824.881504
37,64,829.85095
37,65,832.32399
38,35,591.176423
38,36,608.245981
38,37,622.269552
38,38,638.081592
38,39,649.739167
38,40,663.009159
38,41,673.383135
38,42,686.281461
38,43,695.574903
38,44,708.128576
38,45,716.987942
38,46,728.906335
38,47,737.435952
38,48,748.926417
38,49,757.354594
38,50,768.467245
38,51,774.825921
38,52,782.632046
38,53,788.400341
38,54,795.707837
38,55,800.992128
38,56,807.81711
38,57,812.164317
38,58,818.072708
38,59,821.981181
38,60,827.889573
38,61,831.444078
38,62,837.624466
38,63,840.879962
38,64,846.622547
38,65,849.170107
38,66,854.092978
39,38,637.909307
39,39,651.681374
39,40,665.481386
39,41,676.356506
39,42,689.280914
39,43,699.531932
39,44,711.739089
39,45,721.63614
39,46,733.398974
